AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:15:42
Title: --Transient Thermal
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Deposition-Temp
   13076	-0.600000286E-03	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13033	-0.300000262E-03	-0.300000048E-02	 0.399999928E-03	  701.079618    
   13030	-0.300000262E-03	-0.270000045E-02	 0.399999928E-03	  701.079618    
   13034	-0.300000262E-03	-0.300000048E-02	 0.999999225E-04	  701.069505    
   13031	-0.300000262E-03	-0.270000045E-02	 0.999999225E-04	  701.069505    
   13027	-0.300000262E-03	-0.240000043E-02	 0.399999928E-03	  701.079618    
   13028	-0.300000262E-03	-0.240000043E-02	 0.999999225E-04	  701.069505    
   13024	-0.300000262E-03	-0.210000040E-02	 0.399999928E-03	  701.079618    
   13025	-0.300000262E-03	-0.210000040E-02	 0.999999225E-04	  701.069505    
   13021	-0.300000262E-03	-0.180000038E-02	 0.399999928E-03	  701.079618    
   13022	-0.300000262E-03	-0.180000038E-02	 0.999999225E-04	  701.069505    
   13018	-0.300000262E-03	-0.150000036E-02	 0.399999928E-03	  701.079618    
   13019	-0.300000262E-03	-0.150000036E-02	 0.999999225E-04	  701.069505    
   13015	-0.300000262E-03	-0.120000033E-02	 0.399999928E-03	  701.079618    
   13016	-0.300000262E-03	-0.120000033E-02	 0.999999225E-04	  701.069505    
   13012	-0.300000262E-03	-0.900000310E-03	 0.399999928E-03	  701.079618    
   13013	-0.300000262E-03	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12970	-0.238418579E-09	-0.300000048E-02	 0.399999928E-03	  701.079618    
   12967	-0.238418579E-09	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12971	-0.238418579E-09	-0.300000048E-02	 0.999999225E-04	  701.069505    
   12968	-0.238418579E-09	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12964	-0.238418579E-09	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12965	-0.238418579E-09	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12961	-0.238418579E-09	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12962	-0.238418579E-09	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12958	-0.238418579E-09	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12959	-0.238418579E-09	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12955	-0.238418579E-09	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12956	-0.238418579E-09	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12952	-0.238418579E-09	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12953	-0.238418579E-09	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12949	-0.238418579E-09	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12950	-0.238418579E-09	-0.900000310E-03	 0.999999225E-04	  701.069505    
   13009	-0.300000262E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12946	-0.238418579E-09	-0.600000286E-03	 0.399999928E-03	  701.079618    
   13010	-0.300000262E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12947	-0.238418579E-09	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12907	 0.299999785E-03	-0.300000048E-02	 0.399999928E-03	  701.079618    
   12904	 0.299999785E-03	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12908	 0.299999785E-03	-0.300000048E-02	 0.999999225E-04	  701.069505    
   12905	 0.299999785E-03	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12901	 0.299999785E-03	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12902	 0.299999785E-03	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12898	 0.299999785E-03	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12899	 0.299999785E-03	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12895	 0.299999785E-03	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12896	 0.299999785E-03	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12892	 0.299999785E-03	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12893	 0.299999785E-03	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12889	 0.299999785E-03	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12890	 0.299999785E-03	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12886	 0.299999785E-03	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12887	 0.299999785E-03	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12883	 0.299999785E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12884	 0.299999785E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12842	 0.599999809E-03	-0.300000048E-02	 0.399999928E-03	  701.079618    
   12838	 0.599999809E-03	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12844	 0.599999809E-03	-0.300000048E-02	 0.999999225E-04	  701.069505    
   12839	 0.599999809E-03	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12835	 0.599999809E-03	-0.240000043E-02	 0.399999928E-03	  701.079618    
   12836	 0.599999809E-03	-0.240000043E-02	 0.999999225E-04	  701.069505    
   12832	 0.599999809E-03	-0.210000040E-02	 0.399999928E-03	  701.079618    
   12833	 0.599999809E-03	-0.210000040E-02	 0.999999225E-04	  701.069505    
   12829	 0.599999809E-03	-0.180000038E-02	 0.399999928E-03	  701.079618    
   12830	 0.599999809E-03	-0.180000038E-02	 0.999999225E-04	  701.069505    
   12826	 0.599999809E-03	-0.150000036E-02	 0.399999928E-03	  701.079618    
   12827	 0.599999809E-03	-0.150000036E-02	 0.999999225E-04	  701.069505    
   12823	 0.599999809E-03	-0.120000033E-02	 0.399999928E-03	  701.079618    
   12824	 0.599999809E-03	-0.120000033E-02	 0.999999225E-04	  701.069505    
   12820	 0.599999809E-03	-0.900000310E-03	 0.399999928E-03	  701.079618    
   12821	 0.599999809E-03	-0.900000310E-03	 0.999999225E-04	  701.069505    
   12817	 0.599999809E-03	-0.600000286E-03	 0.399999928E-03	  701.079618    
   12818	 0.599999809E-03	-0.600000286E-03	 0.999999225E-04	  701.069505    
   12843	 0.899999833E-03	-0.300000048E-02	 0.399999928E-03	  701.079618    
   12775	 0.899999833E-03	-0.270000045E-02	 0.399999928E-03	  701.079618    
   12845	 0.899999833E-03	-0.300000048E-02	 0.999999225E-04	  701.069505    
   12776	 0.899999833E-03	-0.270000045E-02	 0.999999225E-04	  701.069505    
   12772	 0.899999833E-03	-0.240000043E-02	 0.399999928E-03	  701.079618    
