AM Result File
MAPDL 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:16:36
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	Recoater-Interference
   13078	-0.600000286E-03	-0.120000033E-02	 0.399999928E-03	-0.730685937E-06
   13079	-0.600000286E-03	-0.120000033E-02	 0.999999225E-04	 0.103745230E-05
   13138	-0.900000310E-03	-0.900000310E-03	 0.399999928E-03	-0.730685941E-06
   13075	-0.600000286E-03	-0.900000310E-03	 0.399999928E-03	-0.730685932E-06
   13139	-0.900000310E-03	-0.900000310E-03	 0.999999225E-04	 0.103745229E-05
   13076	-0.600000286E-03	-0.900000310E-03	 0.999999225E-04	 0.103745230E-05
   13033	-0.300000262E-03	-0.300000048E-02	 0.399999928E-03	-0.730685946E-06
   13030	-0.300000262E-03	-0.270000045E-02	 0.399999928E-03	-0.730685944E-06
   13034	-0.300000262E-03	-0.300000048E-02	 0.999999225E-04	 0.103745229E-05
   13031	-0.300000262E-03	-0.270000045E-02	 0.999999225E-04	 0.103745229E-05
   13027	-0.300000262E-03	-0.240000043E-02	 0.399999928E-03	-0.730685941E-06
   13028	-0.300000262E-03	-0.240000043E-02	 0.999999225E-04	 0.103745229E-05
   13024	-0.300000262E-03	-0.210000040E-02	 0.399999928E-03	-0.730685938E-06
   13025	-0.300000262E-03	-0.210000040E-02	 0.999999225E-04	 0.103745230E-05
   13021	-0.300000262E-03	-0.180000038E-02	 0.399999928E-03	-0.730685935E-06
   13022	-0.300000262E-03	-0.180000038E-02	 0.999999225E-04	 0.103745230E-05
   13018	-0.300000262E-03	-0.150000036E-02	 0.399999928E-03	-0.730685931E-06
   13019	-0.300000262E-03	-0.150000036E-02	 0.999999225E-04	 0.103745230E-05
   13015	-0.300000262E-03	-0.120000033E-02	 0.399999928E-03	-0.730685927E-06
   13016	-0.300000262E-03	-0.120000033E-02	 0.999999225E-04	 0.103745231E-05
   13012	-0.300000262E-03	-0.900000310E-03	 0.399999928E-03	-0.730685922E-06
   13013	-0.300000262E-03	-0.900000310E-03	 0.999999225E-04	 0.103745231E-05
   12970	-0.238418579E-09	-0.300000048E-02	 0.399999928E-03	-0.730685936E-06
   12967	-0.238418579E-09	-0.270000045E-02	 0.399999928E-03	-0.730685933E-06
   12971	-0.238418579E-09	-0.300000048E-02	 0.999999225E-04	 0.103745230E-05
   12968	-0.238418579E-09	-0.270000045E-02	 0.999999225E-04	 0.103745230E-05
   12964	-0.238418579E-09	-0.240000043E-02	 0.399999928E-03	-0.730685931E-06
   12965	-0.238418579E-09	-0.240000043E-02	 0.999999225E-04	 0.103745231E-05
   12961	-0.238418579E-09	-0.210000040E-02	 0.399999928E-03	-0.730685928E-06
   12962	-0.238418579E-09	-0.210000040E-02	 0.999999225E-04	 0.103745231E-05
   12958	-0.238418579E-09	-0.180000038E-02	 0.399999928E-03	-0.730685924E-06
   12959	-0.238418579E-09	-0.180000038E-02	 0.999999225E-04	 0.103745231E-05
   12955	-0.238418579E-09	-0.150000036E-02	 0.399999928E-03	-0.730685920E-06
   12956	-0.238418579E-09	-0.150000036E-02	 0.999999225E-04	 0.103745232E-05
   12952	-0.238418579E-09	-0.120000033E-02	 0.399999928E-03	-0.730685916E-06
   12953	-0.238418579E-09	-0.120000033E-02	 0.999999225E-04	 0.103745232E-05
   12949	-0.238418579E-09	-0.900000310E-03	 0.399999928E-03	-0.730685911E-06
   12950	-0.238418579E-09	-0.900000310E-03	 0.999999225E-04	 0.103745232E-05
   13009	-0.300000262E-03	-0.600000286E-03	 0.399999928E-03	-0.730685916E-06
   12946	-0.238418579E-09	-0.600000286E-03	 0.399999928E-03	-0.730685906E-06
   13010	-0.300000262E-03	-0.600000286E-03	 0.999999225E-04	 0.103745232E-05
   12947	-0.238418579E-09	-0.600000286E-03	 0.999999225E-04	 0.103745233E-05
   12907	 0.299999785E-03	-0.300000048E-02	 0.399999928E-03	-0.730685925E-06
   12904	 0.299999785E-03	-0.270000045E-02	 0.399999928E-03	-0.730685922E-06
   12908	 0.299999785E-03	-0.300000048E-02	 0.999999225E-04	 0.103745231E-05
   12905	 0.299999785E-03	-0.270000045E-02	 0.999999225E-04	 0.103745231E-05
   12901	 0.299999785E-03	-0.240000043E-02	 0.399999928E-03	-0.730685919E-06
   12902	 0.299999785E-03	-0.240000043E-02	 0.999999225E-04	 0.103745232E-05
   12898	 0.299999785E-03	-0.210000040E-02	 0.399999928E-03	-0.730685916E-06
   12899	 0.299999785E-03	-0.210000040E-02	 0.999999225E-04	 0.103745232E-05
   12895	 0.299999785E-03	-0.180000038E-02	 0.399999928E-03	-0.730685913E-06
   12896	 0.299999785E-03	-0.180000038E-02	 0.999999225E-04	 0.103745232E-05
   12892	 0.299999785E-03	-0.150000036E-02	 0.399999928E-03	-0.730685909E-06
   12893	 0.299999785E-03	-0.150000036E-02	 0.999999225E-04	 0.103745233E-05
   12889	 0.299999785E-03	-0.120000033E-02	 0.399999928E-03	-0.730685905E-06
   12890	 0.299999785E-03	-0.120000033E-02	 0.999999225E-04	 0.103745233E-05
   12886	 0.299999785E-03	-0.900000310E-03	 0.399999928E-03	-0.730685900E-06
   12887	 0.299999785E-03	-0.900000310E-03	 0.999999225E-04	 0.103745234E-05
   12883	 0.299999785E-03	-0.600000286E-03	 0.399999928E-03	-0.730685895E-06
   12884	 0.299999785E-03	-0.600000286E-03	 0.999999225E-04	 0.103745234E-05
   12842	 0.599999809E-03	-0.300000048E-02	 0.399999928E-03	-0.730685913E-06
   12838	 0.599999809E-03	-0.270000045E-02	 0.399999928E-03	-0.730685911E-06
   12844	 0.599999809E-03	-0.300000048E-02	 0.999999225E-04	 0.103745232E-05
   12839	 0.599999809E-03	-0.270000045E-02	 0.999999225E-04	 0.103745233E-05
   12835	 0.599999809E-03	-0.240000043E-02	 0.399999928E-03	-0.730685908E-06
   12836	 0.599999809E-03	-0.240000043E-02	 0.999999225E-04	 0.103745233E-05
   12832	 0.599999809E-03	-0.210000040E-02	 0.399999928E-03	-0.730685905E-06
   12833	 0.599999809E-03	-0.210000040E-02	 0.999999225E-04	 0.103745233E-05
   12829	 0.599999809E-03	-0.180000038E-02	 0.399999928E-03	-0.730685901E-06
   12830	 0.599999809E-03	-0.180000038E-02	 0.999999225E-04	 0.103745233E-05
   12826	 0.599999809E-03	-0.150000036E-02	 0.399999928E-03	-0.730685897E-06
   12827	 0.599999809E-03	-0.150000036E-02	 0.999999225E-04	 0.103745234E-05
   12823	 0.599999809E-03	-0.120000033E-02	 0.399999928E-03	-0.730685893E-06
   12824	 0.599999809E-03	-0.120000033E-02	 0.999999225E-04	 0.103745234E-05
   12820	 0.599999809E-03	-0.900000310E-03	 0.399999928E-03	-0.730685888E-06
   12821	 0.599999809E-03	-0.900000310E-03	 0.999999225E-04	 0.103745235E-05
   12817	 0.599999809E-03	-0.600000286E-03	 0.399999928E-03	-0.730685883E-06
   12818	 0.599999809E-03	-0.600000286E-03	 0.999999225E-04	 0.103745235E-05
   12843	 0.899999833E-03	-0.300000048E-02	 0.399999928E-03	-0.730685901E-06
   12775	 0.899999833E-03	-0.270000045E-02	 0.399999928E-03	-0.730685899E-06
   12845	 0.899999833E-03	-0.300000048E-02	 0.999999225E-04	 0.103745233E-05
   12776	 0.899999833E-03	-0.270000045E-02	 0.999999225E-04	 0.103745234E-05
   12772	 0.899999833E-03	-0.240000043E-02	 0.399999928E-03	-0.730685896E-06
   12773	 0.899999833E-03	-0.240000043E-02	 0.999999225E-04	 0.103745234E-05
