AM High Strain File
ANSYS 2025 R1          BUILD 25.1        UP20250123    WINDOWS x64 
04/04/2026      11:20:42
Title: --Static Structural
Node Number	X Coordinate	Y Coordinate	Z Coordinate	High Strain Value
     449	-0.240000043E-02	-0.210000040E-02	 0.400000000E-02	 0.105426402E-04
     448	-0.240000043E-02	-0.240000043E-02	 0.400000000E-02	 0.152030650E-04
     451	-0.210000040E-02	-0.210000040E-02	 0.400000000E-02	 0.619700908E-05
     450	-0.210000040E-02	-0.240000043E-02	 0.400000000E-02	 0.105426402E-04
   13372	-0.210000040E-02	-0.210000040E-02	 0.399999928E-03	 0.466346345E-02
   13420	-0.240000043E-02	-0.210000040E-02	 0.399999928E-03	 0.804608658E-02
   13417	-0.240000043E-02	-0.180000038E-02	 0.399999928E-03	 0.641607401E-02
   13369	-0.210000040E-02	-0.180000038E-02	 0.399999928E-03	 0.324066875E-02
   13373	-0.210000040E-02	-0.210000040E-02	 0.999999225E-04	 0.165826452E-02
   13421	-0.240000043E-02	-0.210000040E-02	 0.999999225E-04	 0.243817695E-02
   13418	-0.240000043E-02	-0.180000038E-02	 0.999999225E-04	 0.173755112E-02
   13370	-0.210000040E-02	-0.180000038E-02	 0.999999225E-04	 0.155952351E-02
   13371	-0.210000040E-02	-0.210000040E-02	 0.699999934E-03	 0.620799810E-02
   13419	-0.240000043E-02	-0.210000040E-02	 0.699999934E-03	 0.879416385E-02
   13416	-0.240000043E-02	-0.180000038E-02	 0.699999934E-03	 0.795519350E-02
   13368	-0.210000040E-02	-0.180000038E-02	 0.699999934E-03	 0.379717561E-02
     452	-0.210000040E-02	-0.180000038E-02	 0.999999940E-03	 0.730080433E-03
     453	-0.210000040E-02	-0.180000038E-02	 0.129999995E-02	 0.280093395E-03
     454	-0.210000040E-02	-0.180000038E-02	 0.159999995E-02	 0.238349683E-03
     455	-0.210000040E-02	-0.180000038E-02	 0.189999996E-02	 0.921744552E-04
     456	-0.210000040E-02	-0.180000038E-02	 0.219999996E-02	 0.472982451E-04
     457	-0.210000040E-02	-0.180000038E-02	 0.249999997E-02	 0.288325164E-04
     458	-0.210000040E-02	-0.180000038E-02	 0.279999998E-02	 0.195202703E-04
     459	-0.210000040E-02	-0.180000038E-02	 0.309999998E-02	 0.143949302E-04
     460	-0.210000040E-02	-0.180000038E-02	 0.339999999E-02	 0.116726391E-04
     461	-0.210000040E-02	-0.180000038E-02	 0.369999999E-02	 0.927753920E-05
     462	-0.210000040E-02	-0.180000038E-02	 0.400000000E-02	 0.768293423E-05
   13324	-0.180000038E-02	-0.240000043E-02	 0.399999928E-03	 0.641607401E-02
   13375	-0.210000040E-02	-0.240000043E-02	 0.399999928E-03	 0.804608658E-02
   13321	-0.180000038E-02	-0.210000040E-02	 0.399999928E-03	 0.324066875E-02
   13325	-0.180000038E-02	-0.240000043E-02	 0.999999225E-04	 0.173755112E-02
   13376	-0.210000040E-02	-0.240000043E-02	 0.999999225E-04	 0.243817695E-02
   13322	-0.180000038E-02	-0.210000040E-02	 0.999999225E-04	 0.155952351E-02
   13323	-0.180000038E-02	-0.240000043E-02	 0.699999934E-03	 0.795519350E-02
   13374	-0.210000040E-02	-0.240000043E-02	 0.699999934E-03	 0.879416385E-02
   13320	-0.180000038E-02	-0.210000040E-02	 0.699999934E-03	 0.379717561E-02
     639	-0.180000038E-02	-0.240000043E-02	 0.999999940E-03	 0.102697323E-02
     641	-0.180000038E-02	-0.210000040E-02	 0.999999940E-03	 0.730080433E-03
     642	-0.180000038E-02	-0.210000040E-02	 0.129999995E-02	 0.280093395E-03
     640	-0.180000038E-02	-0.240000043E-02	 0.129999995E-02	 0.400946792E-03
     644	-0.180000038E-02	-0.210000040E-02	 0.159999995E-02	 0.238349683E-03
     643	-0.180000038E-02	-0.240000043E-02	 0.159999995E-02	 0.352903122E-03
     646	-0.180000038E-02	-0.210000040E-02	 0.189999996E-02	 0.921744552E-04
     645	-0.180000038E-02	-0.240000043E-02	 0.189999996E-02	 0.139567780E-03
     648	-0.180000038E-02	-0.210000040E-02	 0.219999996E-02	 0.472982451E-04
     647	-0.180000038E-02	-0.240000043E-02	 0.219999996E-02	 0.736336689E-04
     650	-0.180000038E-02	-0.210000040E-02	 0.249999997E-02	 0.288325164E-04
     649	-0.180000038E-02	-0.240000043E-02	 0.249999997E-02	 0.453154386E-04
     652	-0.180000038E-02	-0.210000040E-02	 0.279999998E-02	 0.195202703E-04
     651	-0.180000038E-02	-0.240000043E-02	 0.279999998E-02	 0.308012875E-04
     654	-0.180000038E-02	-0.210000040E-02	 0.309999998E-02	 0.143949302E-04
     653	-0.180000038E-02	-0.240000043E-02	 0.309999998E-02	 0.223723562E-04
     656	-0.180000038E-02	-0.210000040E-02	 0.339999999E-02	 0.116726391E-04
     655	-0.180000038E-02	-0.240000043E-02	 0.339999999E-02	 0.170590867E-04
     658	-0.180000038E-02	-0.210000040E-02	 0.369999999E-02	 0.927753920E-05
     657	-0.180000038E-02	-0.240000043E-02	 0.369999999E-02	 0.136283044E-04
     660	-0.180000038E-02	-0.210000040E-02	 0.400000000E-02	 0.768293423E-05
     659	-0.180000038E-02	-0.240000043E-02	 0.400000000E-02	 0.112590122E-04
   13318	-0.180000038E-02	-0.180000038E-02	 0.399999928E-03	 0.234951176E-02
